"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","568","Add customer","autoTests","Sun Mar 30 20:45:09 GMT 2025","passed","Sun Mar 30 20:45:09 GMT 2025","tests.AddCustomerTest","Tests","tests.AddCustomerTest","addCustomer"
"","631","Add customer","autoTests","Sun Mar 30 20:45:08 GMT 2025","passed","Sun Mar 30 20:45:09 GMT 2025","tests.AddCustomerTest","Tests","tests.AddCustomerTest","addCustomer"
"","2458","Add customer","autoTests","Sun Mar 30 20:45:05 GMT 2025","passed","Sun Mar 30 20:45:08 GMT 2025","tests.AddCustomerTest","Tests","tests.AddCustomerTest","addCustomer"
"","351","Sort by First Name","autoTests","Sun Mar 30 20:45:11 GMT 2025","passed","Sun Mar 30 20:45:12 GMT 2025","tests.CustomersTest","Tests","tests.CustomersTest","sortByFirstName"
"","1375","Delete Client","autoTests","Sun Mar 30 20:45:10 GMT 2025","passed","Sun Mar 30 20:45:11 GMT 2025","tests.CustomersTest","Tests","tests.CustomersTest","deleteClient"
